nmi,ari,jsd,n_groups,method
0.5947148066962171,-0.025654730090860504,0.47090532318416817,26,DBSCAN_eps0.1
0.5099282124476513,0.003707627118644068,0.26213437956579766,17,DBSCAN_eps0.15
0.45733403281845814,0.018699910952804988,0.4239118397593225,11,Spectral_sim_k11
0.45280316580330465,0.011965025310630465,0.3007632063893663,15,MeanShift
0.44690558573272365,0.02582073035780155,0.3592599296565179,11,KMeans_k11
0.42825268154340795,0.027536665668961388,0.28927239261831694,10,Hier_complete_k10
0.42825268154340795,0.027536665668961388,0.28927239261831694,10,Agg_complete_k10
0.42359310941422507,0.005954912803062527,0.4058785105007124,10,Spectral_sim_k10
0.4215829189318764,-0.017857142857142856,0.35648195857777065,12,GMM_k12
0.42077135897751855,0.005311077389984826,0.3724100240730582,11,GMM_k11
0.4202181859212737,0.02452937820878494,0.33051475870319197,10,Agg_average_k10
0.4202181859212737,0.02452937820878494,0.33051475870319197,10,Hier_average_k10
0.41825776843432516,0.010034735623311463,0.3753566076323286,10,MiniBatchKMeans_k10
0.41647664763552183,0.022619481940897482,0.3239216033304842,9,GMM_k9
0.41173400204030847,-0.0226628895184136,0.3839882019234453,12,KMeans_k12
0.4061357708107336,0.0335195530726257,0.28857974276470594,8,Agg_complete_k8
0.40613577081073354,0.0335195530726257,0.28857974276470594,8,Hier_complete_k8
0.3943880127187346,-0.003105590062111801,0.4717376943972149,10,Spectral_rbf_k10
0.3885940944436968,-0.00933237616654702,0.33504644882887297,10,GMM_k10
0.3882345492857708,0.01085915043117215,0.2949544539043886,9,KMeans_k9
0.3776800598568676,-0.007485963817841547,0.30745480247472473,10,KMeans_k10
0.3703505162811762,0.021334958854007924,0.320712706565432,8,GMM_k8
0.36414841481328514,-0.028109627547434995,0.3438177598056906,10,Hier_ward_k10
0.3641484148132851,-0.028109627547434995,0.3438177598056906,10,Agg_ward_k10
0.3579745901637162,-0.01203326844806229,0.2108955946479705,11,DBSCAN_eps0.2
0.3570283009751504,-0.028447254049782694,0.39203256292902183,9,Spectral_sim_k9
0.3521090527221624,0.019270474879559532,0.35166721569789183,7,Spectral_sim_k7
0.3496820567521884,-0.006531204644412192,0.38601921743857875,8,Spectral_sim_k8
0.3477288352622565,-0.0234192037470726,0.2906785543763526,10,Birch_k10
0.34495788199319405,0.008743806470416789,0.3063433738557963,7,GMM_k7
0.34481471702548494,0.042463835744283716,0.21381854206744197,6,Agg_complete_k6
0.3448147170254848,0.042463835744283716,0.21381854206744197,6,Hier_complete_k6
0.3444551881474432,-0.015267175572519083,0.3183197719297165,8,MiniBatchKMeans_k8
0.3414711089676077,-0.011073515841279606,0.3071277576492984,8,KMeans_k8
0.33448956161176513,-0.017184401850627893,0.29836615313522924,8,Agg_ward_k8
0.33448956161176513,-0.017184401850627893,0.29836615313522924,8,Hier_ward_k8
0.3333383297524044,-0.023520485584218515,0.45821814618081896,8,Spectral_rbf_k8
0.32433006967278555,0.0032957978577313925,0.25445642170148974,7,KMeans_k7
0.31635659399603067,-0.005516290294776763,0.18996458429331736,8,Agg_average_k8
0.31635659399603067,-0.005516290294776763,0.18996458429331736,8,Hier_average_k8
0.3158605730716359,-0.014460511679644048,0.2437036649714697,8,Birch_k8
0.3156921343152291,0.004010312231452306,0.30615994984597483,6,MiniBatchKMeans_k6
0.30515150386786655,0.0012899064817800709,0.34832451861721725,6,Spectral_sim_k6
0.2925578144133637,-0.011625203441060218,0.2683772959315953,6,Hier_ward_k6
0.2925578144133637,-0.011625203441060218,0.2683772959315953,6,KMeans_k6
0.29255781441336365,-0.011625203441060218,0.2683772959315953,6,Agg_ward_k6
0.2866249924122332,-0.0017061934823408974,0.1891332498074841,6,Agg_average_k6
0.28662499241223316,-0.0017061934823408974,0.1891332498074841,6,Hier_average_k6
0.2820473537573135,0.0035676061362825543,0.18724909220164554,6,Birch_k6
0.279446057966467,-0.015817779183802595,0.36389644095922635,6,AffinityPropagation
0.267873142692964,-0.0032162958992227285,0.3189729655326377,6,Spectral_rbf_k6
0.26656914296458045,-0.003969238402381543,0.28926255547149615,5,GMM_k5
0.26656914296458045,-0.003969238402381543,0.28926255547149615,5,KMeans_k5
0.26602983780262085,0.02802491103202847,0.280565174111778,4,GMM_k4
0.250018415925323,0.016680923866552608,0.2650353755227011,4,KMeans_k4
0.24380043491246045,-0.035595105672969966,0.288092317668549,6,GMM_k6
