mean_jsd,max_jsd,min_jsd,n_pairs,method,K
0.2650353755227006,0.7291545326519505,0.0008744019662343935,144,ward,4
0.26837729593159526,0.7287621938433625,0.0009431493049577233,144,ward,6
0.298366153135229,0.747186087750775,0.013154440113026852,144,ward,8
0.3438177598056902,0.7943686702023616,0.014246488498485817,144,ward,10
0.3576606934932856,0.8007823844958033,0.014581295083438644,144,ward,12
0.17094161971251287,0.7205771851670206,0.0044020552809851685,144,complete,4
0.213818542067442,0.7405486877536708,0.00790990751345524,144,complete,6
0.2885797427647063,0.7402886882480693,0.008882112025859657,144,complete,8
0.28927239261831694,0.7400751963613107,0.00941711250414042,144,complete,10
0.3265430169491598,0.7827042577294437,0.009921533608418714,144,complete,12
